 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
309,2,9,15,1,0,0,0,0,0,0,0,0,1
310,2,9,16,1,0,0,0,0,0,0,0,0,1
311,2,9,17,1,0,0,0,0,0,0,0,0,1
312,2,9,18,1,0,0,0,0,1,0,0,0,16
314,2,10,3,0,1,0,0,0,0,0,0,0,2
315,2,10,4,0,1,0,0,0,0,0,0,0,2
316,2,10,5,0,1,0,0,0,0,0,0,0,2
317,2,10,6,0,1,0,0,0,0,0,0,0,2
319,2,10,9,0,1,0,0,0,0,0,0,0,2
322,2,10,12,0,1,0,0,0,0,0,0,0,2
323,2,10,19,0,1,0,0,0,1,0,0,0,26
325,2,10,14,0,1,0,0,0,0,0,0,0,2
326,2,10,15,0,1,0,0,0,0,0,0,0,2
327,2,10,17,0,1,0,0,0,0,0,0,0,2
328,2,10,18,0,1,0,0,0,1,0,0,0,26
330,2,11,3,0,1,0,0,0,0,0,0,0,2
331,2,11,4,0,1,0,0,0,0,0,0,0,2
332,2,11,5,0,1,0,0,0,0,0,0,0,2
333,2,11,6,0,1,0,0,0,0,0,0,0,2
335,2,11,9,0,1,0,0,0,0,0,0,0,2
338,2,11,12,0,1,0,0,0,0,0,0,0,2
339,2,11,19,0,1,0,0,0,1,0,0,0,26
341,2,11,14,0,1,0,0,0,0,0,0,0,2
342,2,11,15,0,1,0,0,0,0,0,0,0,2
343,2,11,17,0,1,0,0,0,0,0,0,0,2
344,2,11,18,0,1,0,0,0,1,0,0,0,26
345,2,12,1,1,0,0,0,0,1,0,0,0,16
346,2,12,2,1,0,0,0,0,0,0,0,0,1
347,2,12,3,1,1,0,0,0,0,0,0,0,12
348,2,12,4,1,1,0,0,0,0,0,0,0,12
349,2,12,5,1,1,0,0,0,0,0,0,0,12
350,2,12,6,1,1,0,0,0,0,0,0,0,12
351,2,12,7,1,0,0,0,0,1,0,0,0,16
352,2,12,8,1,0,0,0,0,0,0,0,0,1
353,2,12,9,1,1,0,0,0,0,0,0,0,12
354,2,12,10,1,0,0,0,0,1,0,0,0,16
355,2,12,11,1,0,0,0,0,1,0,0,0,16
356,2,12,12,1,1,0,0,0,0,0,0,0,12
357,2,12,19,0,1,0,0,0,1,0,0,0,26
358,2,12,13,1,0,0,0,0,1,0,0,0,16
359,2,12,14,1,1,0,0,0,0,0,0,0,12
360,2,12,15,1,1,0,0,0,0,0,0,0,12
361,2,12,16,1,0,0,0,0,0,0,0,0,1
362,2,12,17,1,1,0,0,0,0,0,0,0,12
363,2,12,18,1,1,0,0,0,1,0,0,0,126
364,3,1,1,1,0,0,0,0,0,0,1,0,18
365,3,1,2,1,0,0,0,0,0,0,0,0,1
366,3,1,3,1,0,0,0,0,0,0,0,0,1
367,3,1,4,1,0,0,0,0,0,0,1,0,18
368,3,1,5,1,0,0,0,0,0,0,1,0,18
369,3,1,6,1,0,0,0,0,0,0,0,0,1
370,3,1,7,1,0,0,0,0,0,0,1,0,18
371,3,1,8,1,0,0,0,0,0,0,0,0,1
372,3,1,9,1,0,0,0,0,0,0,1,0,18
373,3,1,10,1,0,0,0,0,0,0,1,0,18
374,3,1,11,1,0,0,0,0,0,0,0,0,1
375,3,1,12,1,0,0,0,0,0,0,0,0,1
376,3,1,19,0,0,0,0,0,0,0,1,0,8
